full_name,pdf_filename,category,date_publication,source_url,sha256
Loi de finances n° 25/060 du 29 décembre 2025 pour l'exercice 2026 — Volume I : Recettes,lf_2026_recettes.pdf,Budget 2026,2025-12-29,https://www.budget.gouv.cd/wp-content/uploads/budget2026/lf_2026_recettes.pdf,6b1f0c92f07d6fda86a1e5178da3b3924e5a838e4b56e0dec1e3f953de63bd24
Circulaire contenant les instructions relatives à l'exécution de la Loi de finances 2026,circulaire_exec_budget2026.pdf,Budget 2026,,https://www.budget.gouv.cd/wp-content/uploads/budget2026/circulaire_exec_budget2026.pdf,b780cf6ff3f3ac1496f68789498b617b9adaa79c246df0da45e8b94dd7db8a41
